0001;0002;1469506987638;click;conteudo;p;544;412
0001;0003;1469506988692;click;conteudo;p;446;457
0001;0004;1469506990267;click;conteudo;p;482;529
0001;0004;1469506999443;click;conteudo;btn;200;100
0001;0003;1469507001514;click;conteudo;btn;200;100
0001;0002;1469507002984;click;conteudo;btn;200;100
0001;0002;1469507014631;click;questionHard;div;490;340
0001;0003;1469507015643;click;questionHard;div;429;356
0001;0004;1469507016802;click;questionHard;html;472;455
0001;0004;1469507027805;click;questionHard;alert;200;100
0001;0003;1469507030161;click;questionHard;alert;200;100
0001;0002;1469507032250;click;questionHard;alert;200;100
0001;0002;1469507035838;click;questionHard;btn;200;100
0001;0003;1469507037937;click;questionHard;btn;200;100
0001;0004;1469507040234;click;questionHard;btn;200;100
0001;0004;1469507050342;click;questionHard;alert;200;100
0001;0003;1469507052671;click;questionHard;alert;200;100
0001;0002;1469507055085;click;questionHard;alert;200;100
0001;0003;1469507127162;click;conteudo;p;518;348
0001;0002;1469507128788;click;conteudo;p;516;354
0001;0004;1469507129972;click;conteudo;p;593;448
0001;0004;1469507137354;click;conteudo;btn;200;100
0001;0002;1469507139813;click;conteudo;btn;200;100
0001;0003;1469507142290;click;conteudo;btn;200;100
0001;0003;1469507159779;click;questionHard;html;337;438
0001;0002;1469507160747;click;questionHard;html;472;417
0001;0004;1469507161808;click;questionHard;html;565;363
